,property_type,price,room_type,accommodates,wifi,parking,elevator,laundry,pool,bar,restaurant,gym,media_entertainment,air_conditioning,country
112,Hotel,2334.0,room,3,0,0,0,0,0,0,0,0,1,0,India
113,Hotel,3167.0,room,6,0,0,0,0,0,0,0,0,1,0,India
114,Homestay,1334.0,room,2,0,0,0,0,0,0,0,0,1,0,India
115,Hotel,1778.0,room,4,0,0,0,0,0,0,0,0,1,1,India
116,Hotel,2595.0,room,3,1,0,0,0,0,0,1,0,1,1,India
117,Hotel,1000.0,room,4,1,1,0,0,0,0,0,0,0,0,India
118,Hotel,667.0,room,2,0,1,0,0,0,0,0,0,1,1,India
119,Hotel,389.0,room,3,0,1,0,0,0,0,0,0,0,1,India
120,House,756.0,room,2,0,0,0,0,0,0,1,0,1,1,India
121,Hotel,2394.0,room,2,1,0,0,0,0,0,1,0,0,1,India
122,Hotel,4498.0,room,4,0,0,0,0,0,0,1,0,1,1,India
123,Homestay,945.0,room,3,0,0,0,0,0,0,0,0,0,0,India
124,Hotel,1670.0,room,4,1,0,0,0,0,0,0,0,1,1,India
125,Hotel,473.0,room,4,0,0,0,0,0,0,0,0,1,1,India
126,Hotel,2834.0,room,4,0,1,0,0,0,0,0,0,0,0,India
127,Hotel,2583.0,room,3,0,0,0,0,0,0,1,0,1,0,India
128,Lodge,534.0,room,4,0,1,0,0,0,0,1,0,0,0,India
129,Villa,2787.0,entire_home,2,1,1,0,0,0,0,1,0,0,0,India
130,Hotel,556.0,room,2,0,0,0,0,0,0,1,0,1,1,India
131,Hotel,667.0,room,4,0,0,0,0,0,0,1,0,0,1,India
132,Hotel,695.0,room,2,1,1,0,0,0,0,0,0,0,1,India
133,Hotel,1112.0,room,4,0,0,0,0,0,0,0,0,1,1,India
134,Homestay,889.0,room,4,0,0,0,0,0,0,0,0,1,0,India
135,Hotel,1250.0,room,4,0,0,0,0,0,0,1,0,0,1,India
136,Lodge,570.0,room,2,0,0,0,0,0,0,0,0,1,0,India
137,Hotel,1276.0,room,3,0,0,0,0,0,0,1,0,1,1,India
138,Resort,1234.0,room,4,0,0,0,0,0,0,1,0,0,0,India
139,Resort,1778.0,entire_home,4,0,0,0,0,0,0,0,0,1,0,India
140,Hotel,516.0,room,2,1,1,1,0,0,0,0,0,0,1,India
141,Hotel,1223.0,entire_home,4,1,0,0,0,0,0,0,0,0,1,India
142,Hotel,1943.0,room,2,1,1,0,0,0,1,0,0,0,1,India
143,Hotel,1666.0,room,4,0,0,0,0,0,0,1,0,1,1,India
144,Hotel,2000.0,room,4,0,1,0,0,0,0,0,0,0,1,India
145,House,3000.0,room,4,1,1,0,0,0,0,0,0,0,1,India
146,Hotel,2150.0,room,3,0,0,0,0,0,0,0,0,1,1,India
147,House,850.0,room,4,1,0,0,0,0,0,0,0,0,1,India
148,Hotel,934.0,room,4,1,1,0,0,0,0,1,0,0,1,India
149,Hotel,1512.0,room,4,1,1,1,0,0,1,0,0,0,1,India
150,Hotel,3839.0,room,4,1,0,0,0,0,0,1,0,1,1,India
151,Hotel,778.0,room,4,1,0,0,0,0,0,0,0,0,1,India
152,Hotel,889.0,room,4,0,0,0,0,0,0,1,0,0,1,India
153,House,389.0,room,2,0,1,0,0,0,0,0,0,0,1,India
154,Hotel,778.0,room,4,0,0,0,0,0,0,1,0,1,1,India
155,Hotel,3778.0,room,3,0,0,0,0,0,0,1,0,0,0,India
156,Hotel,1147.0,room,4,0,0,0,0,0,0,1,0,0,1,India
157,Homestay,567.0,room,3,0,0,0,0,0,0,1,0,1,0,India
158,Hotel,3253.0,room,3,1,1,0,0,1,1,1,0,0,1,India
159,Hotel,2000.0,room,3,0,0,0,0,0,0,0,0,1,1,India
160,Hotel,1093.0,room,3,1,0,1,0,0,0,1,0,1,1,India
161,Hotel,1912.0,room,4,1,0,0,0,0,0,0,0,0,1,India
162,House,945.0,room,4,1,0,0,0,0,0,0,0,1,0,India
163,Hotel,1475.0,room,3,1,0,1,0,0,0,0,0,0,1,India
164,Hotel,1100.0,room,3,1,1,0,0,0,1,1,0,0,1,India
165,Hotel,2778.0,room,4,1,1,1,0,0,1,1,0,0,1,India
166,Hotel,545.0,room,4,0,1,0,0,0,0,0,0,0,1,India
167,Hotel,100.0,entire_home,3,0,1,0,0,0,0,1,0,0,0,India
168,Homestay,1417.0,entire_home,4,1,0,0,0,0,0,1,0,0,0,India
169,Resort,1200.0,room,4,0,0,0,0,0,0,0,0,0,1,India
170,Hotel,1445.0,room,4,0,0,0,0,0,0,0,0,1,1,India
171,Hotel,445.0,room,2,0,1,0,0,0,0,1,0,0,1,India
172,Hotel,556.0,room,4,0,0,0,0,0,0,1,0,1,0,India
173,Hotel,700.0,room,4,0,0,0,0,0,0,0,0,1,1,India
174,Hotel,3612.0,room,3,0,0,0,0,0,0,1,0,1,0,India
175,Hotel,1572.0,room,3,0,0,0,0,0,0,1,0,1,1,India
176,Hotel,1668.0,room,2,1,0,0,0,0,1,0,0,0,1,India
177,Hotel,1067.0,room,4,0,0,0,0,0,0,0,0,1,1,India
178,Hotel,2595.0,room,4,1,0,0,0,0,0,1,0,0,1,India
179,Hotel,534.0,room,2,0,1,0,0,0,0,0,0,0,1,India
180,Lodge,1568.0,room,2,1,1,0,0,0,0,0,0,1,1,India
181,Hotel,1530.0,room,3,1,0,0,0,0,0,0,0,0,1,India
182,Hotel,778.0,room,4,0,1,0,0,0,0,0,0,0,0,India
183,Homestay,1530.0,room,3,1,0,0,0,0,0,0,0,0,1,India
184,Hotel,1880.0,room,3,0,0,0,0,0,0,0,0,1,1,India
185,Homestay,567.0,room,3,0,0,0,0,0,0,0,0,0,0,India
186,Hotel,524.0,room,3,1,0,0,0,0,0,1,0,0,1,India
187,Hotel,750.0,room,4,0,0,0,0,0,0,0,0,1,1,India
188,House,445.0,room,4,0,1,0,0,0,0,0,0,0,1,India
189,Hotel,1584.0,entire_home,3,0,0,0,0,0,0,1,0,1,0,India
190,Hotel,767.0,room,4,0,0,0,0,0,0,0,0,1,1,India
191,Hotel,1474.0,room,4,1,0,0,0,0,0,1,0,1,1,India
192,Hotel,2126.0,room,4,1,0,0,0,0,0,0,0,1,1,India
193,Hotel,1200.0,entire_home,4,0,0,0,0,0,0,0,0,0,0,India
194,House,223.0,room,2,0,1,0,0,0,0,1,0,0,0,India
195,Hotel,1344.0,room,4,1,0,0,0,0,0,0,0,0,1,India
196,Hotel,599.0,room,4,0,1,0,0,0,0,1,0,1,1,India
197,Resort,1634.0,entire_home,4,0,1,0,0,0,0,0,0,0,1,India
198,Resort,4000.0,room,4,1,0,0,0,0,0,1,0,1,0,India
199,Hotel,1043.0,room,4,0,0,0,0,0,0,1,0,1,1,India
200,Villa,2187.0,room,3,0,1,0,0,0,1,0,0,0,1,India
201,Homestay,1000.0,room,3,0,1,0,0,0,0,1,0,0,0,India
202,Hotel,1075.0,room,4,0,0,0,0,0,0,0,0,0,1,India
203,Hotel,1334.0,room,4,0,0,0,0,0,0,1,0,1,1,India
204,Homestay,945.0,entire_home,3,0,0,0,0,0,0,0,0,1,0,India
205,House,473.0,room,2,0,0,0,0,0,0,0,0,1,0,India
206,Hotel,170.0,entire_home,3,0,0,0,0,0,0,1,0,1,1,India
207,House,600.0,room,2,0,1,0,0,0,0,1,0,0,1,India
208,Lodge,300.0,room,2,0,0,0,0,0,0,1,0,1,1,India
209,Resort,1067.0,room,4,0,1,0,0,0,0,0,0,1,0,India
210,Resort,1232.0,room,4,0,0,0,0,0,0,0,0,1,1,India
211,Homestay,1134.0,room,4,0,0,0,0,1,0,0,0,0,0,India
212,Hotel,3108.0,room,3,0,0,0,0,0,0,1,0,1,0,India
213,Hotel,500.0,room,4,0,1,0,0,0,0,1,0,0,1,India
214,Resort,7703.0,room,4,1,0,0,0,0,0,0,0,1,1,India
215,Hotel,750.0,room,4,0,0,0,0,0,0,1,0,1,1,India
216,Hotel,3112.0,room,4,1,1,0,0,0,0,1,1,0,1,India
217,Hotel,1972.0,room,4,1,1,0,0,0,0,1,0,0,0,India
218,Hotel,5200.0,room,3,0,0,0,0,0,0,0,0,1,0,India
219,Hotel,556.0,room,4,0,0,0,0,0,0,0,0,1,1,India
220,Hotel,1134.0,room,2,0,0,0,0,0,0,0,0,1,1,India
221,Resort,1500.0,room,4,0,0,0,0,0,0,0,0,0,0,India
222,Hotel,378.0,room,2,0,0,0,0,0,0,0,0,0,0,India
223,Homestay,1067.0,room,4,0,0,0,0,0,0,0,0,0,0,India
224,Resort,4845.0,room,3,0,1,0,0,0,1,1,0,1,1,India
225,Hotel,1999.0,room,4,0,1,1,0,0,0,1,0,0,1,India
226,House,445.0,room,4,0,0,0,0,0,0,0,0,1,1,India
227,Homestay,1667.0,room,4,0,0,0,0,0,0,0,0,1,0,India
228,Hotel,1629.0,room,3,1,1,0,0,0,0,0,1,0,0,India
229,Resort,2000.0,room,4,1,0,0,0,0,0,1,0,1,1,India
230,Hotel,1250.0,room,4,1,1,0,0,0,0,1,0,1,1,India
231,Hotel,1540.0,room,3,0,0,0,0,0,0,1,0,1,1,India
232,Hotel,3558.0,room,2,0,0,0,0,0,0,0,0,1,0,India
233,Hotel,2089.0,room,2,1,0,0,0,1,0,1,0,0,1,India
234,Hotel,1758.0,room,3,1,0,0,0,0,0,1,0,1,1,India
235,Hotel,756.0,room,2,0,0,0,0,0,0,0,0,1,1,India
236,Lodge,800.0,room,3,1,0,0,0,0,0,0,0,0,0,India
237,Hotel,3334.0,room,4,0,0,0,0,0,0,1,0,1,0,India
238,Hotel,2445.0,room,3,1,1,0,0,0,1,1,0,0,0,India
239,Hotel,167.0,room,2,0,1,0,0,0,0,1,0,0,0,India
240,Hotel,700.0,room,4,0,0,0,0,0,0,0,0,1,1,India
241,Hotel,1156.0,room,4,1,0,0,0,0,0,1,0,1,1,India
242,Homestay,1334.0,room,2,1,0,0,0,0,0,1,0,1,0,India
243,Hotel,2187.0,room,3,0,1,0,0,0,0,0,0,0,1,India
244,Homestay,189.0,room,2,1,0,1,0,0,0,0,1,0,0,India
245,Hotel,400.0,room,3,0,0,0,0,0,0,0,0,1,1,India
246,Hotel,1322.0,room,3,1,0,0,0,0,0,1,0,1,1,India
247,House,2595.0,room,3,1,1,0,0,0,0,1,0,0,1,India
248,Villa,849.0,room,4,0,0,0,0,0,0,0,0,1,0,India
249,House,389.0,room,2,0,0,0,0,0,0,1,0,1,0,India
250,Hotel,2889.0,entire_home,4,1,0,0,0,0,0,1,0,0,0,India
251,House,756.0,room,3,1,1,0,0,0,0,0,0,0,0,India
252,House,334.0,entire_home,4,0,0,0,0,0,0,0,0,0,0,India
253,Hotel,1467.0,room,4,0,0,1,0,0,1,1,0,0,1,India
254,House,500.0,room,2,0,1,0,0,0,0,1,0,0,1,India
255,Hotel,2278.0,room,3,0,0,0,0,0,0,1,0,1,0,India
256,Lodge,445.0,room,4,0,1,0,0,0,0,1,0,0,1,India
257,Hotel,7786.0,room,3,0,1,0,0,0,0,1,0,1,1,India
258,Hotel,1076.0,room,3,1,0,0,0,0,0,1,0,1,1,India
259,House,578.0,room,4,1,1,0,0,0,0,0,0,0,0,India
260,Homestay,2362.0,room,3,0,0,0,0,0,0,1,0,0,0,India
261,Hotel,1269.0,room,4,1,1,0,0,0,0,0,0,0,0,India
262,Hotel,1584.0,entire_home,5,0,0,0,0,0,0,0,0,1,0,India
263,Hotel,950.0,room,4,0,1,0,0,0,0,0,0,1,0,India
264,Hotel,1112.0,room,4,0,0,0,0,0,0,0,0,1,1,India
265,Villa,7112.0,room,4,1,0,0,0,0,0,1,0,1,0,India
266,House,555.0,room,2,0,0,0,0,0,0,0,0,1,1,India
267,Hotel,1667.0,room,3,0,0,0,0,0,0,0,0,0,1,India
268,House,802.0,room,4,0,0,0,0,0,0,0,0,1,1,India
269,Hotel,390.0,room,2,0,1,0,0,0,0,0,0,0,1,India
270,Hotel,528.0,room,4,0,0,0,0,0,0,0,0,1,1,India
271,Hotel,500.0,room,2,0,1,0,0,0,0,1,0,0,1,India
272,Hotel,793.0,room,4,1,0,0,0,0,0,1,0,1,1,India
273,Hotel,750.0,room,4,0,1,0,0,0,0,1,0,0,1,India
274,Homestay,2267.0,room,3,0,0,0,0,0,0,1,0,0,0,India
275,Hotel,1676.0,room,4,1,0,0,0,0,0,0,0,1,1,India
276,Hotel,6000.0,room,4,1,0,0,0,0,0,1,0,0,0,India
277,Hotel,1700.0,room,2,1,1,1,0,0,0,0,0,0,1,India
278,Apartment,2223.0,entire_home,4,1,0,0,0,0,0,1,0,0,0,India
279,Hotel,3000.0,room,3,1,1,1,0,0,0,1,0,1,1,India
280,Hotel,1067.0,room,4,0,0,0,0,0,0,1,0,1,1,India
281,Hotel,2778.0,room,4,1,0,0,0,0,0,1,0,0,0,India
282,Hotel,2000.0,room,4,1,1,0,0,0,0,1,0,1,1,India
283,Resort,2223.0,room,4,1,0,0,0,0,0,1,0,1,1,India
284,Resort,5556.0,room,4,1,1,0,0,1,1,0,1,1,1,India
285,House,1067.0,room,2,1,0,0,0,0,0,0,0,0,0,India
286,Apartment,3889.0,entire_home,4,0,0,0,0,0,0,0,0,0,0,India
287,Hotel,945.0,room,3,0,0,0,0,0,0,1,0,0,1,India
288,Hotel,2334.0,room,4,0,0,0,0,0,0,1,0,1,1,India
289,Hotel,5760.0,room,4,1,0,0,0,0,0,1,0,0,0,India
290,House,945.0,room,2,1,0,0,0,0,0,0,0,0,1,India
291,Apartment,7223.0,entire_home,6,0,0,0,0,0,0,0,0,0,0,India
292,Lodge,2667.0,room,2,1,1,0,0,0,0,1,0,0,1,India
293,Apartment,10389.0,room,2,1,0,0,0,0,0,0,0,0,1,India
294,Hotel,2362.0,room,2,1,0,0,0,0,0,1,0,0,0,India
295,Hotel,3056.0,room,4,1,1,0,0,0,0,1,0,0,0,India
296,Hotel,2556.0,room,2,1,1,1,0,0,1,1,0,1,1,India
297,Hotel,826.0,room,4,0,0,0,0,0,0,0,0,1,1,India
298,Hotel,1867.0,room,3,1,1,0,0,0,0,0,0,0,1,India
299,Hotel,8500.0,room,1,0,0,0,0,0,0,0,0,0,0,India
300,Hotel,2892.0,room,2,1,1,1,0,0,0,1,0,1,1,India
301,House,1228.0,room,2,0,0,0,0,0,0,0,0,0,0,India
302,Resort,3334.0,entire_home,6,1,0,0,0,0,0,1,0,1,1,India
303,Hotel,1667.0,room,4,1,1,0,0,0,1,1,0,0,0,India
304,Apartment,10000.0,entire_home,8,0,0,0,0,0,0,0,0,0,0,India
305,Hotel,3306.0,room,4,0,0,0,0,0,0,1,0,0,0,India
306,Hotel,1556.0,room,3,1,1,0,0,0,0,1,0,0,1,India
307,House,2173.0,entire_home,4,1,1,0,0,0,1,1,0,1,1,India
308,Hotel,1050.0,entire_home,3,0,0,0,0,0,0,0,0,1,1,India
309,Hotel,1417.0,room,2,1,0,0,0,0,0,0,0,0,1,India
310,Hotel,1624.0,room,3,1,0,0,0,0,0,1,1,1,0,India
311,Villa,778.0,room,4,1,0,0,0,0,0,0,0,0,0,India
312,Hotel,2362.0,room,2,1,0,0,0,0,0,1,0,0,1,India
313,Hotel,5280.0,room,4,1,0,0,0,0,0,1,0,0,0,India
314,Hotel,519.0,room,3,0,0,0,0,0,0,0,0,0,1,India
315,Villa,7500.0,entire_home,8,1,1,0,0,0,0,0,0,0,0,India
316,Hotel,889.0,room,4,1,0,0,0,0,0,1,0,0,1,India
317,House,2223.0,room,4,1,1,0,0,0,0,1,0,0,1,India
